name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,price_per_kilometer
Maruti Swift Dzire VDI,11,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74,5.0,19230.76923076923
Skoda Rapid 1.5 TDI Ambition,11,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,17502.365184484388
Honda City 2017-2020 EXi,19,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78,5.0,8926.553672316384
Hyundai i20 Sportz Diesel,15,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90,5.0,9782.608695652174
Maruti Swift VXI BSIII,18,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,8074.534161490683
Hyundai Xcent 1.2 VTVT E Plus,8,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,21847.070506454816
Maruti Wagon R LXI DUO BSIII,18,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,5549.132947976878
Maruti 800 DX BSII,24,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37,4.0,2795.0310559006207
Toyota Etios VXD,14,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,14836.79525222552
Ford Figo Diesel Celebration Edition,12,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,10000.0
Renault Duster 110PS Diesel RxL,11,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,26301.946344029457
Maruti Zen LX,20,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60,5.0,5317.9190751445085
Maruti Swift Dzire VDi,16,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,14507.772020725388
Maruti Swift 1.3 VXi,18,200000,80000,Petrol,Individual,Manual,Second Owner,19.41878335651954,,,,10299.306415242192
Maruti Wagon R LXI Minor,16,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67,5.0,9523.809523809525
